tag;necessary;paired;ignore
!-- --;0;0;0
!DOCTYPE html;1;0;0
a;0;1;0
abbr;0;1;0
address;0;1;0
area;0;0;0
article;0;1;0
aside;0;1;0
audio;0;1;0
b;0;1;0
base;0;0;0
bdi;0;1;0
bdo;0;1;0
blockquote;0;1;0
body;1;1;0
br;0;0;0
button;0;1;0
canvas;0;1;0
caption;0;1;0
cite;0;1;0
code;0;1;0
col;0;0;0
colgroup;0;1;0
data;0;1;0
datalist;0;1;0
dd;0;1;0
del;0;1;0
details;0;1;0
dfn;0;1;0
dialog;0;1;0
div;0;1;0
dl;0;1;0
dt;0;1;0
em;0;1;0
embed;0;0;0
fieldset;0;1;0
figcaption;0;1;0
figure;0;1;0
footer;0;1;0
form;0;1;0
h1;0;1;0
h2;0;1;0
h3;0;1;0
h4;0;1;0
h5;0;1;0
h6;0;1;0
head;1;1;0
header;0;1;0
hgroup;0;1;0
hr;0;0;0
html;1;1;0
i;0;1;0
iframe;0;1;0
img;0;0;0
input;0;0;0
ins;0;1;0
kbd;0;1;0
label;0;1;0
legend;0;1;0
li;0;1;0
link;0;0;0
main;0;1;0
map;0;1;0
mark;0;1;0
menu;0;1;0
meta;1;0;0
meter;0;1;0
nav;0;1;0
noscript;0;1;0
object;0;1;0
ol;0;1;0
optgroup;0;1;0
option;0;1;0
output;0;1;0
p;0;1;0
param;0;0;0
picture;0;1;0
pre;0;1;0
progress;0;1;0
q;0;1;0
rp;0;1;0
rt;0;1;0
ruby;0;1;0
s;0;1;0
samp;0;1;0
script;0;1;1
search;0;1;0
section;0;1;0
select;0;1;0
small;0;1;0
source;0;0;0
span;0;1;0
strong;0;1;0
style;0;1;0
sub;0;1;0
summary;0;1;0
sup;0;1;0
svg;0;1;0
table;0;1;0
tbody;0;1;0
td;0;1;0
template;0;1;0
textarea;0;1;0
tfoot;0;1;0
th;0;1;0
thead;0;1;0
time;0;1;0
title;1;1;0
tr;0;1;0
track;0;0;0
u;0;1;0
ul;0;1;0
var;0;1;0
video;0;1;0
wbr;0;0;0
